,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
ATXN2L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.361339004580722,1.0
MBD4,1.0,1.0,0.185765330874183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
APBA3,1.0,1.0,0.48215689183347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TLK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5309789365181901,1.0
LMNB1,1.0,1.0,0.492415429937321,1.0,1.0,1.0,1.0,1.0,1.0,0.341637515516541,1.0
CDC20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3731024602997637,1.0
EPB49,1.0,0.41497440902769,0.441830562887089,0.5256922053984274,1.0,1.0,0.524536306696034,1.0,1.0,1.0,1.0
PAICS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.484909198901526,1.0
OSBPL3,0.492819814024592,1.0,0.5778745947672,1.0,1.0,1.0,1.0,1.0,1.0,0.502571357573184,1.0
ERBB2IP,1.0,1.0,0.3792337031624669,1.0,1.0,1.0,1.0,1.0,1.0,0.408105982681561,1.0
ERF,1.0,1.0,0.3433156588031823,0.3128586160173073,1.0,1.0,1.0,0.3659281823228665,0.24075981587422,0.389182743082793,1.0
TPD52L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.166943351367596,1.0
DOCK9,1.0,1.0,0.37772976223843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FOSL1,1.0,1.0,0.411465601399372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRRC2B,1.0,1.0,0.3971983151782005,1.0,0.535567925340329,1.0,1.0,1.0,1.0,0.449420801460634,1.0
STXBP5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.395895113658663,1.0
DHCR7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466387412325252,1.0
SFT2D1,1.0,1.0,0.288421220179123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALKBH5,1.0,1.0,1.0,0.389614470097492,1.0,1.0,1.0,1.0,0.389614470097492,1.0,1.0
"EPB41L2, EPB41L3",1.0,1.0,1.0,1.0,0.483803657774652,1.0,1.0,1.0,1.0,0.243666435057782,1.0
CABLES2,1.0,1.0,0.450970852412052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XPO1,1.0,1.0,0.354376221671328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRSF2,1.0,1.0,1.0,0.474010887,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBM14,1.0,1.0,0.467099903246035,1.0,1.0,1.0,1.0,1.0,1.0,0.494308650608646,1.0
TAF7,1.0,1.0,0.3361394639438086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPF6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.430353894055253,1.0
USP8,0.437574161270337,1.0,0.42584435947302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLL5,1.0,1.0,0.45005006048029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GIT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43933945417703,1.0
DCTN2,1.0,1.0,0.343293313942006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEMA4B,1.0,1.0,0.3689819632115192,1.0,1.0,1.0,1.0,1.0,1.0,0.425659444921133,1.0
"PKIB, RANBP1",1.0,1.0,0.326374771612988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IWS1,1.0,1.0,0.3641297987793372,0.380732011168732,0.431933615743047,1.0,1.0,1.0,0.327697880816122,0.246018985625975,1.0
PDXDC1,1.0,1.0,0.458189547744527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRIM33,1.0,1.0,1.0,1.0,0.3898452121692705,1.0,1.0,0.465131023055407,1.0,0.340447837143439,1.0
TBK1,1.0,1.0,0.437746072622415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IFT140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKTIP,1.0,1.0,0.486099097329357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZFP64,1.0,1.0,0.236789537431374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUFIP2,1.0,1.0,1.0,1.0,0.410046864611832,1.0,1.0,1.0,1.0,0.456728672266039,1.0
ABCC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3250678026641393,1.0
DCBLD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466806451771518,1.0
EPN2,1.0,1.0,1.0,1.0,0.56813571357957,1.0,1.0,1.0,1.0,0.329767891885633,1.0
FYB,1.0,1.0,0.369894071966938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RALY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.563479066967816,1.0
OSBPL1A,1.0,1.0,1.0,0.42449116,1.0,1.0,0.328790148164518,1.0,1.0,1.0,1.0
PHACTR4,1.0,1.0,0.3693066763111149,1.0,1.0,1.0,1.0,1.0,1.0,0.4259437421668416,1.0
SMCR8,0.321811789467139,0.253444203898164,0.408970001842149,0.1910407765,0.5423518904339315,1.0,0.248574095145902,1.0,0.359704826878359,0.545621535512594,1.0
KIAA1671,1.0,1.0,0.3524463520853629,1.0,1.0,1.0,1.0,1.0,1.0,0.473608496155478,1.0
CLTC,1.0,1.0,0.346819824940572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FASN,1.0,1.0,0.219799022993617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
