,Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID
1034,UBXN6,-1.861178762643397,0.0,0.0,0.0,0.0,0.0,0.0,-1.2580445625409629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80700
1035,UBXN7,-1.684402819132646,0.0,0.0,0.0,0.0,0.0,0.0,1.42737392857584,0.0,0.0,0.0,0.0,0.4609758134796871,-1.4543971787662575,0.0,1.029491660690694,-1.0360134903554914,2.270972785533348,2.6931960556507883,0.0,-1.5042450799406382,0.0,0.0,26043
1036,UCK2,-2.1768704507790084,0.0,0.0,-0.8810460989758588,-1.3462560204375846,-1.6466540117350503,0.0,1.5998088801569783,0.0,0.0,0.0,-3.049629763596496,-1.1592084678833063,-4.053980170457044,-1.458313009351585,-1.35491518696652,-2.1440771651038304,0.0,0.0,-1.1228499928342688,0.0,-1.013283226929299,0.0,7371
1038,UIMC1,0.3506284052491684,0.0,0.0,0.0,0.0,0.0,0.0,1.9137700508392828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9490009040835348,1.0708432699008454,1.8643272709232348,0.0,-0.7591960037129591,0.0,0.0,0.0,51720
1039,ULK1,-1.5273621289089503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1802729744425289,0.0,0.0,1.2268433959174343,0.0,-0.800120362048877,1.3397387922422617,0.0,0.0,-1.5024249479776652,0.0,-1.2172581339846422,0.0,0.0,8408
1040,UNG,-1.6111631898711776,0.0,0.0,0.0,0.0,0.0,0.0,-1.2186451247055423,-1.5547925859891814,0.0,0.0,0.0,0.0,-1.8148888055913703,0.0,-1.3676209370282388,-1.2164316423913677,0.0,-1.102860040621781,0.0,0.0,-1.095073882019831,0.0,7374
1041,URI1,-1.6017757216609656,0.0,-1.9043225807941224,-0.9218831619079558,0.0,0.0,0.0,0.0,0.0,-1.9043225807941224,0.0,0.0,-1.2256127904155654,-2.142945144007772,0.0,2.869366134999734,2.848609541640003,0.0,0.0,0.7662622233208848,0.0,0.0,1.5175015991595244,8725
1042,USO1,1.6270448282228784,0.0,0.0,0.0,0.0,0.0,0.0,1.1574962339512092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289071361950241,2.022452976276988,0.0,0.0,0.0,-0.7701116324584509,0.0,0.0,8615
1043,USP1,1.5267258838193625,0.0,-1.0176182967869374,0.0,0.0,0.0,0.0,-1.0185169752719996,-1.7402882671874114,0.0,0.0,0.0,0.0,0.0,0.0,-1.839477355667478,-1.3688981904564206,-1.5273758241405988,0.0,0.0,0.0,0.0,0.0,7398
1044,USP14,-1.7519750292631342,0.0,0.0,0.0,0.0,0.0,0.0,1.5699381276413105,0.0,0.0,0.0,0.0,-2.332112754762101,-1.5715658674915125,0.0,2.8167395096785928,2.086558608875622,0.0,0.0,0.0,-0.791941431219226,0.0,0.0,9097
