Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
RPS6KA4,-1.9877758336789588,0.0,0.0,0.0,0.0,0.0,0.0,1.1357829991924069,0.0,0.0,0.0,0.0,-1.5201223598879745,0.0,0.0,1.2341423057055894,1.341368924111826,0.0,2.8913818184218023,0.0,-1.8836979813142827,0.0,0.0
RPS6KB1,0.6804858370394815,0.0,-0.9675850290724564,-1.260149343770918,0.0,-1.7975070116148466,0.0,-0.33721404268983735,0.0,0.0,0.0,-2.0426653241419435,1.3375632222078349,0.0,-3.6156970296749664,1.4233796471899107,1.713473112252371,0.0,0.0,-1.721972843233515,-1.2435124713761108,1.1538770562741059,0.0
RRAGC,-1.8685820696311501,0.0,0.0,0.0,0.0,-1.2839103200540911,0.0,1.202919462426069,0.0,0.0,0.0,-0.8685283211145501,-1.158290378419676,0.0,-1.563035430756688,-1.9246726174895765,-1.4924848420277959,0.0,0.0,-1.2350221088474589,-1.125954800900035,-1.007230051036473,0.0
RREB1,1.5053719898129834,0.0,0.0,-0.9043933498776904,0.0,0.0,0.0,1.7888831285648634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3890083672695486,1.2615237111373276,0.0,0.0,0.0,0.0,0.0,0.0
RRM2,-1.135232492476921,0.0,0.0,0.0,0.0,0.0,0.0,-1.75093356584658,-1.526320338503614,0.0,0.0,-0.878903516189585,0.0,0.0,0.0,-1.4081519776272644,0.30695311122651486,0.0,1.6848406887877814,0.0,0.0,0.0,0.0
RRP8,1.3643344845643612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8861297720791503,0.0,0.0
RSL1D1,0.22436062383518343,0.0,0.0,0.0,0.0,0.0,0.0,1.1926099734245097,0.0,0.0,0.0,-1.50338314874511,0.22284973262537924,0.0,0.0,1.5087871390803367,1.7997770139771336,-1.6056787995329578,0.0,0.0,0.783507935434086,0.0,0.0
RSRC2,0.4567231969833141,0.0,-1.0265771162032304,0.0,0.0,0.0,0.0,2.121436612980397,0.0,0.0,0.0,0.9562301833348879,0.0,0.0,0.0,0.9440885869578268,0.5249549836660677,0.0,0.0,0.0,-1.6956820728967454,0.0,-1.413461927578326
RTN4,1.6499212028735273,0.0,0.0,0.0,0.0,0.0,0.0,1.9591926389867695,0.0,0.0,0.0,0.7580871873437524,-1.6931310013429008,0.0,0.0,1.5952662286930397,1.387084913865482,0.0,0.0,0.0,0.40877778351649346,0.0,0.0
RUNX1,1.17637003725777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6048376444900334,-2.0232394217771836,0.0,0.0,0.0,0.0,0.0,0.0
RXRA,-1.0978299804004794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0978299804004794,0.0,1.1580030432745163,1.236645018870881,0.0,0.0,0.0,0.0,0.0,0.0
SAFB,1.3504231411268168,0.0,0.0,0.0,0.0,0.0,0.0,1.9466066102424164,0.0,0.0,0.0,-1.1233884434380623,0.0,0.0,0.0,-1.832972573128021,-1.6760433938434232,1.3310560445547013,1.2558964365630547,-0.9310657498099699,0.0,0.0,0.0
"SAFB, SAFB2",1.6300407673556039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5540424137300919,0.0,0.0,0.0,0.8573336644425497,0.5438442121366573,0.0,0.0,0.0,0.0,0.0,0.0
